Squad,# Pl,Poss,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Performance-Gls,Performance-Ast,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Expected-xG,Expected-npxG,Expected-xA,Per 90 Minutes-xG,Per 90 Minutes-xA,Per 90 Minutes-xG+xA,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xA,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Performance-Gls,Performance-Ast,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Expected-xG,Expected-npxG,Expected-xA,Per 90 Minutes-xG,Per 90 Minutes-xA,Per 90 Minutes-xG+xA,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xA,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att,Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Att,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,Standard-Gls,Standard-PK,Standard-PKatt,Standard-Sh,Standard-SoT,Standard-FK,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Expected-xG,Expected-npxG,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Press,Pass Types-Sw,Pass Types-Crs,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Height-Ground,Height-Low,Height-High,Body Parts-Left,Body Parts-Right,Body Parts-Head,Body Parts-TI,Body Parts-Other,Outcomes-Cmp,Outcomes-Off,Outcomes-Out,Outcomes-Int,Outcomes-Blocks,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-Drib,SCA Types-Sh,SCA Types-Fld,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-Drib,GCA Types-Sh,GCA Types-Fld,GCA Types-OG,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Vs Dribbles-Tkl,Vs Dribbles-Att,Vs Dribbles-Tkl%,Vs Dribbles-Past,Pressures-Press,Pressures-Succ,Pressures-%,Pressures-Def 3rd,Pressures-Mid 3rd,Pressures-Att 3rd,Blocks-Blocks,Blocks-Sh,Blocks-ShSv,Blocks-Pass,Int,Clr,Err,Poss,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Dribbles-Succ,Dribbles-Att,Dribbles-Succ%,Dribbles-#Pl,Dribbles-Megs,Carries-Carries,Carries-TotDist,Carries-PrgDist,Receiving-Targ,Receiving-Rec,Receiving-Rec%,Miscon,Dispos,Playing Time-MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Starts-Starts,Starts-Mn/Start,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,W,D,L
Manchester City,22,66,28,308,2520,68,52,3,7,55,3,2.43,1.86,4.29,2.32,4.18,65.3,60.1,65.3,2.33,2.33,4.66,2.15,4.48,28,308,2520,68,52,3,7,55,3,2.43,1.86,4.29,2.32,4.18,65.3,60.1,65.3,2.33,2.33,4.66,2.15,4.48,31,2,1,4,1,27.3,0.3,-2.7,-0.1,106,208,51,683,127,23.3,30.5,121,40.5,37.2,156,13,8.3,25,0.89,17.8,68,3,7,530,178,18,33.6,18.93,6.36,0.12,0.37,65.3,60.1,0.12,2.7,4.9,17404,19977,87.1,336753,91323,211,585,36.1,13093,14316,91.5,4100,5076,80.8,52,65.3,-13.3,401,1406,435,76,1674,19977,18782,1195,256,76,3418,584,721,231,73,52,24,15004,2545,2428,7016,11471,516,529,206,17404,47,205,273,417,871,31.11,683,46,66,42,34,115,4.11,88,3,12,5,7,0,436,275,175,177,84,175,509,34.4,334,3949,1198,30.3,934,1715,1300,341,51,0,290,267,499,9,66,22918,1586,5243,11785,7486,1216,21744,392,601,65.2,409,14,16438,94029,56563,19310,17404,90.1,238,311,28,2520,90,100,308,85,79,19,117,2.04,68,31,37,1.32,65.3,26.2,39.1,1.4,55,3,2,283,215,50,721,267,275,6,2,1,2587,383,350,52.3,18,3,7
Manchester Utd,28,54.7,29,319,2610,43,28,6,10,56,0,1.48,0.97,2.45,1.28,2.24,44.3,36.7,44.3,1.53,1.53,3.05,1.27,2.79,29,319,2610,43,28,6,10,56,0,1.48,0.97,2.45,1.28,2.24,44.3,36.7,44.3,1.53,1.53,3.05,1.27,2.79,30,1,1,7,1,28.9,0.29,-0.1,0,94,255,36.9,523,121,35.6,35.4,193,35.8,36.4,222,8,3.6,9,0.31,13.5,43,6,10,417,153,26,36.7,14.38,5.28,0.09,0.24,44.3,36.7,0.09,-1.3,0.3,12651,15496,81.6,233924,72179,205,594,34.5,9825,11096,88.5,2621,3806,68.9,28,44.3,-16.3,311,979,248,41,1310,15496,14064,1432,368,34,2961,441,503,153,60,49,14,10865,2144,2487,4175,9745,455,659,200,12651,37,252,268,432,696,24,535,45,43,24,47,65,2.24,47,3,5,1,7,2,488,287,232,190,66,166,501,33.1,335,4892,1394,28.5,1546,2221,1125,487,88,0,399,278,710,6,54.7,19039,1761,5619,9245,5472,730,17628,371,614,60.4,397,32,12861,79043,45498,14692,12651,86.1,350,379,29,2610,90,100,319,86,82,15,121,1.55,44,30,14,0.48,44.3,29.4,14.8,0.51,56,0,0,320,333,39,503,278,287,9,1,1,2750,459,392,53.9,12,9,8
Newcastle Utd,27,36.9,29,319,2610,25,17,0,1,52,3,0.86,0.59,1.45,0.86,1.45,25.3,24.5,25.3,0.87,0.87,1.74,0.85,1.72,29,319,2610,25,17,0,1,52,3,0.86,0.59,1.45,0.86,1.45,25.3,24.5,25.3,0.87,0.87,1.74,0.85,1.72,41,0,1,9,1,48.7,0.33,8.7,0.3,234,607,38.6,564,84,65.1,49,269,89.2,64.8,291,16,5.5,11,0.38,12.4,25,0,1,298,92,11,30.9,10.28,3.17,0.08,0.27,25.3,24.5,0.09,-0.3,0.5,7588,10438,72.7,156900,61598,146,434,33.6,5460,6503,84,1982,3501,56.6,17,25.3,-8.3,218,586,151,54,872,10438,9068,1370,354,19,2213,388,448,115,43,45,10,5732,1601,3105,3032,5748,536,561,144,7588,57,226,192,296,437,15.07,309,44,35,25,24,37,1.28,25,3,2,5,2,0,521,296,314,158,49,167,480,34.8,313,4985,1217,24.4,2157,1996,832,509,132,5,377,311,902,10,36.9,14008,1965,5674,5733,3356,454,12680,344,541,63.6,367,14,7946,48296,26207,9676,7588,78.4,360,324,29,2610,90,100,319,85,80,20,123,1.21,25,41,-16,-0.55,25.3,45.7,-20.4,-0.7,52,3,0,276,313,62,448,311,296,0,0,1,2545,572,574,49.9,9,8,12
Norwich City,26,50.2,29,319,2610,24,17,2,2,53,1,0.83,0.59,1.41,0.76,1.34,33.7,32.3,33.7,1.16,1.16,2.33,1.11,2.28,29,319,2610,24,17,2,2,53,1,0.83,0.59,1.41,0.76,1.34,33.7,32.3,33.7,1.16,1.16,2.33,1.11,2.28,52,4,1,10,2,52.5,0.33,2.5,0.09,192,568,33.8,913,148,47.1,40.7,243,56.8,46,305,22,7.2,12,0.41,14.1,24,2,2,335,107,12,31.9,11.55,3.69,0.07,0.21,33.7,32.3,0.1,-9.7,-10.3,11373,14176,80.2,208776,68284,247,590,41.9,8753,9880,88.6,2373,3706,64,17,33.7,-16.7,244,682,193,34,952,14176,12752,1424,361,33,3002,358,372,134,59,64,3,9363,2323,2490,3992,8587,496,605,221,11373,31,256,238,349,515,17.76,374,43,40,30,27,34,1.17,25,2,3,2,1,1,571,341,333,171,67,203,618,32.8,415,5292,1435,27.1,2130,2190,972,562,155,4,407,305,843,9,50.2,17983,2476,7095,7753,4268,638,16610,365,597,61.1,391,25,11370,67705,37150,13454,11373,84.5,371,370,29,2610,90,100,319,86,84,16,119,0.72,25,52,-27,-0.93,33.7,46.5,-12.8,-0.44,53,1,0,279,333,35,372,305,341,1,7,2,2571,405,485,45.5,5,6,18
Sheffield Utd,22,43.5,28,308,2520,27,18,1,1,51,1,0.96,0.64,1.61,0.93,1.57,33.7,32.9,33.7,1.2,1.2,2.41,1.18,2.38,28,308,2520,27,18,1,1,51,1,0.96,0.64,1.61,0.93,1.57,33.7,32.9,33.7,1.2,1.2,2.41,1.18,2.38,25,0,0,2,0,30.1,0.32,5.1,0.18,182,659,27.6,591,76,78.2,59,205,96.1,76.1,207,16,7.7,13,0.46,13.7,27,1,1,288,88,4,30.6,10.29,3.14,0.09,0.3,33.7,32.9,0.12,-6.7,-6.9,8964,12223,73.3,180918,63446,185,544,34,6554,7710,85,2225,3969,56.1,18,33.7,-15.7,211,739,234,66,1091,12223,10871,1352,257,17,2514,477,654,166,114,18,11,6508,2220,3495,3897,6339,699,671,143,8964,56,337,170,372,437,15.61,315,52,29,24,14,44,1.57,31,1,4,4,1,3,501,303,268,167,66,157,474,33.1,317,4899,1372,28,1633,2078,1188,457,100,2,357,321,941,11,43.5,15571,1712,4762,6671,4886,654,14245,286,422,67.8,301,17,9127,48501,24423,11351,8964,79,315,282,28,2520,90,100,308,85,78,19,118,1.54,30,25,5,0.18,33.7,34,-0.3,-0.01,51,1,0,303,208,61,654,321,303,1,2,0,2770,650,653,49.9,11,10,7
Southampton,23,47.7,29,319,2610,35,20,1,2,44,3,1.21,0.69,1.9,1.17,1.86,39.8,38.1,39.8,1.37,1.37,2.75,1.32,2.69,29,319,2610,35,20,1,2,44,3,1.21,0.69,1.9,1.17,1.86,39.8,38.1,39.8,1.37,1.37,2.75,1.32,2.69,52,3,1,5,0,51,0.36,-1,-0.03,171,559,30.6,561,75,68.8,50.8,201,86.1,62,267,21,7.9,15,0.52,14.7,35,1,2,372,125,18,33.6,12.83,4.31,0.09,0.27,39.8,38.1,0.11,-4.8,-4.1,8971,12371,72.5,173160,63553,179,495,36.2,6779,8184,82.8,2013,3692,54.5,20,39.8,-19.8,252,721,220,55,1129,12371,10860,1511,331,20,2469,353,531,160,69,59,23,6655,2196,3520,2209,7966,829,739,169,8971,41,322,190,333,533,18.38,365,53,50,26,39,45,1.55,24,4,6,5,6,0,626,379,309,238,79,238,709,33.6,471,5618,1709,30.4,1838,2400,1380,546,109,0,437,285,1002,16,47.7,16381,1680,4929,7810,4511,653,14889,353,578,61.1,380,16,9092,54075,28664,11375,8971,78.9,419,336,29,2610,90,100,319,85,83,17,119,1.17,35,52,-17,-0.59,39.8,41,-1.2,-0.04,44,3,1,355,280,45,531,285,379,2,4,0,3044,607,692,46.7,10,4,15
Tottenham,29,52.7,29,319,2610,45,30,3,4,65,3,1.55,1.03,2.59,1.45,2.48,38.5,35.4,38.5,1.33,1.33,2.65,1.22,2.55,29,319,2610,45,30,3,4,65,3,1.55,1.03,2.59,1.45,2.48,38.5,35.4,38.5,1.33,1.33,2.65,1.22,2.55,40,4,1,3,2,45,0.3,7,0.24,150,428,35,632,114,44.5,38.3,221,66.5,52.2,258,18,7,15,0.52,13.2,45,3,4,347,125,14,36,11.97,4.31,0.12,0.34,38.5,35.4,0.11,6.5,6.6,12182,15193,80.2,234551,71747,189,526,35.9,9231,10424,88.6,2762,4243,65.1,30,38.5,-8.5,262,891,235,42,1178,15193,13791,1402,355,40,2693,371,486,144,61,42,13,10147,2279,2767,4050,9455,556,613,180,12182,48,191,260,360,557,19.21,429,32,44,24,26,70,2.41,43,2,12,8,3,2,554,358,272,232,50,173,560,30.9,387,5054,1425,28.2,1817,2247,990,512,134,2,378,265,852,8,52.7,18857,2091,6133,9149,4692,648,17496,374,654,57.2,407,30,12257,68924,37355,14440,12182,84.4,305,375,29,2610,90,100,319,85,83,18,120,1.41,47,40,7,0.24,38.5,42.7,-4.2,-0.15,65,3,1,296,322,52,486,265,358,4,6,2,2772,468,476,49.6,11,8,10
Watford,25,42.7,29,319,2610,27,18,4,5,65,3,0.93,0.62,1.55,0.79,1.41,34.3,30.6,34.3,1.18,1.18,2.37,1.05,2.24,29,319,2610,27,18,4,5,65,3,0.93,0.62,1.55,0.79,1.41,34.3,30.6,34.3,1.18,1.18,2.37,1.05,2.24,44,6,2,5,3,44.3,0.34,3.3,0.11,246,775,31.7,707,90,78.5,54.6,232,94.8,68.9,295,30,10.2,30,1.03,15.3,27,4,5,323,89,14,27.6,11.14,3.07,0.07,0.26,34.3,30.6,0.1,-7.3,-7.6,8786,11969,73.4,172984,64788,202,506,39.9,6473,7713,83.9,2111,3750,56.3,18,34.3,-16.3,230,709,197,60,1028,11969,10634,1335,293,19,2191,358,479,133,52,41,19,6484,2246,3239,2968,7147,629,603,156,8786,47,236,203,322,491,16.93,370,33,34,25,29,36,1.24,26,2,1,3,4,0,550,345,282,203,65,188,625,30.1,437,5346,1448,27.1,1839,2347,1160,473,112,4,361,314,906,8,42.7,15536,1769,4983,7177,4181,668,14222,286,492,58.1,306,12,9163,50667,27914,11043,8786,79.6,333,303,29,2610,90,100,319,85,81,20,122,0.93,27,44,-17,-0.59,34.3,43.8,-9.5,-0.33,65,3,2,350,239,53,479,314,345,4,6,3,2818,584,578,50.3,6,9,14
West Ham,28,44,29,319,2610,35,26,3,3,55,1,1.21,0.9,2.1,1.1,2,33.1,30.8,33.1,1.14,1.14,2.28,1.06,2.21,29,319,2610,35,26,3,3,55,1,1.21,0.9,2.1,1.1,2,33.1,30.8,33.1,1.14,1.14,2.28,1.06,2.21,50,4,1,7,2,49.7,0.32,1.7,0.06,246,636,38.7,593,95,72.2,51.1,216,96.3,66.1,282,13,4.6,11,0.38,11.8,35,3,3,298,125,10,41.9,10.28,4.31,0.11,0.26,33.1,30.8,0.11,1.9,1.2,9497,12646,75.1,183362,69311,221,602,36.7,7055,8328,84.7,2221,3716,59.8,26,33.1,-7.1,230,754,196,62,1080,12646,11232,1414,337,29,2557,354,556,147,62,52,23,7077,2187,3382,3655,7123,584,635,174,9497,51,224,215,400,473,16.31,345,52,29,18,29,59,2.03,38,4,6,3,8,0,570,366,318,202,50,189,628,30.1,439,5366,1436,26.8,1980,2369,1017,506,101,1,405,330,726,11,44,16044,1760,4934,7819,4221,634,14654,334,521,64.1,352,15,9677,59056,30799,11854,9497,80.1,320,316,29,2610,90,100,319,85,80,21,123,0.93,35,50,-15,-0.52,33.1,53.3,-20.2,-0.7,55,1,1,300,261,59,556,330,366,3,5,2,2712,601,602,50,7,6,16
Wolves,20,46.9,29,319,2610,39,27,3,3,49,2,1.34,0.93,2.28,1.24,2.17,38.9,36.7,38.9,1.34,1.34,2.68,1.26,2.61,29,319,2610,39,27,3,3,49,2,1.34,0.93,2.28,1.24,2.17,38.9,36.7,38.9,1.34,1.34,2.68,1.26,2.61,34,0,0,6,1,30.4,0.29,-2.6,-0.09,207,437,47.4,433,94,58.7,44.2,223,82.1,54.6,268,11,4.1,7,0.24,12.2,39,3,3,364,112,10,30.8,12.55,3.86,0.1,0.32,38.9,36.7,0.1,0.1,-0.7,10396,13306,78.1,220844,73275,147,474,31,7259,8469,85.7,2990,4363,68.5,27,38.9,-11.9,260,787,180,62,1095,13306,11951,1355,302,27,2440,541,558,153,29,65,12,7449,2526,3331,2877,8596,638,614,184,10396,38,252,223,352,544,18.76,384,49,50,29,30,65,2.24,37,7,7,6,6,2,583,341,326,203,54,224,605,37,381,5180,1402,27.1,1935,2348,897,461,104,0,357,336,775,11,46.9,16836,1654,5499,8119,4201,690,15503,412,653,63.1,447,27,10815,63862,37736,12502,10396,83.2,353,346,29,2610,90,100,319,86,69,18,134,1.48,41,34,7,0.24,38.9,27.9,11,0.38,49,2,2,316,271,40,558,336,341,3,2,1,2727,554,527,51.2,10,13,6
