Squad	# Pl	Poss	Playing Time-MP	Playing Time-Starts	Playing Time-Min	Performance-Gls	Performance-Ast	Performance-PK	Performance-PKatt	Performance-CrdY	Performance-CrdR	Per 90 Minutes-Gls	Per 90 Minutes-Ast	Per 90 Minutes-G+A	Per 90 Minutes-G-PK	Per 90 Minutes-G+A-PK	Expected-xG	Expected-npxG	Expected-xA	Per 90 Minutes-xG	Per 90 Minutes-xA	Per 90 Minutes-xG+xA	Per 90 Minutes-npxG	Per 90 Minutes-npxG+xA	Playing Time-MP	Playing Time-Starts	Playing Time-Min	Performance-GA	Performance-GA90	Performance-SoTA	Performance-Saves	Performance-Save%	Performance-W	Performance-D	Performance-L	Performance-CS	Performance-CS%	Penalty Kicks-PKatt	Penalty Kicks-PKA	Penalty Kicks-PKsv	Penalty Kicks-PKm	90s	GA	Goals-PKA	Goals-FK	Goals-CK	Goals-OG	Expected-PSxG	Expected-PSxG/SoT	Expected-PSxG+/-	Expected-/90	Launched-Cmp	Launched-Att	Launched-Cmp%	Passes-Att	Passes-Thr	Passes-Launch%	Passes-AvgLen	Goal Kicks-Att	Goal Kicks-Launch%	Goal Kicks-AvgLen	Crosses-Att	Crosses-Stp	Crosses-Stp%	Sweeper-#OPA	Sweeper-#OPA/90	Sweeper-AvgDist	Standard-Gls	Standard-PK	Standard-PKatt	Standard-Sh	Standard-SoT	Standard-FK	Standard-SoT%	Standard-Sh/90	Standard-SoT/90	Standard-G/Sh	Standard-G/SoT	Expected-xG	Expected-npxG	Expected-npxG/Sh	Expected-G-xG	Expected-np:G-xG	Total-Cmp	Total-Att	Total-Cmp%	Total-TotDist	Total-PrgDist	Short-Cmp	Short-Att	Short-Cmp%	Medium-Cmp	Medium-Att	Medium-Cmp%	Long-Cmp	Long-Att	Long-Cmp%	Ast	xA	A-xA	KP	3-Jan	PPA	CrsPA	Prog	SCA-SCA	SCA-SCA90	SCA Types-PassLive	SCA Types-PassDead	SCA Types-Drib	SCA Types-Sh	SCA Types-Fld	GCA-GCA	GCA-GCA90	GCA Types-PassLive	GCA Types-PassDead	GCA Types-Drib	GCA Types-Sh	GCA Types-Fld	GCA Types-OG	Tackles-Tkl	Tackles-TklW	Tackles-Def 3rd	Tackles-Mid 3rd	Tackles-Att 3rd	Vs Dribbles-Tkl	Vs Dribbles-Att	Vs Dribbles-Tkl%	Vs Dribbles-Past	Pressures-Press	Pressures-Succ	Pressures-%	Pressures-Def 3rd	Pressures-Mid 3rd	Pressures-Att 3rd	Blocks-Blocks	Blocks-Sh	Blocks-ShSv	Blocks-Pass	Int	Clr	Err	Poss	Touches-Touches	Touches-Def Pen	Touches-Def 3rd	Touches-Mid 3rd	Touches-Att 3rd	Touches-Att Pen	Touches-Live	Dribbles-Succ	Dribbles-Att	Dribbles-Succ%	Dribbles-#Pl	Dribbles-Megs	Carries-Carries	Carries-TotDist	Carries-PrgDist	Receiving-Targ	Receiving-Rec	Receiving-Rec%	Miscon	Dispos	Playing Time-MP	Playing Time-Min	Playing Time-Mn/MP	Playing Time-Min%	Starts-Starts	Starts-Mn/Start	Subs-Subs	Subs-Mn/Sub	Subs-unSub	Team Success-PPM	Team Success-onG	Team Success-onGA	Team Success-+/-	Team Success-+/-90	Team Success (xG)-onxG	Team Success (xG)-onxGA	Team Success (xG)-xG+/-	Team Success (xG)-xG+/-90	Performance-CrdY	Performance-CrdR	Performance-2CrdY	Performance-Fls	Performance-Fld	Performance-Off	Performance-Crs	Performance-Int	Performance-TklW	Performance-PKwon	Performance-PKcon	Performance-OG	Performance-Recov	Aerial Duels-Won	Aerial Duels-Lost	Aerial Duels-Won%	W	D	L
Huesca	30	44.7	38	418	3420	43	28	6	7	114	3	1.13	0.74	1.87	0.97	1.71	44.4	39.1	44.4	1.17	1.17	2.34	1.03	2.2	38	38	3420	65	1.71	167	112	0.665	7	12	19	6	15.8	9	9	0	0	38	65	9	2	2	3	57	0.3	-5	-0.13	335	862	38.9	774	76	74.8	53.3	306	92.5	65.9	348	19	5.5	13	0.34	13.3	43	6	7	470	140	18	29.8	12.37	3.68	0.08	0.26	44.4	39.1	0.09	-1.4	-2.1	10778	14817	72.7	218839	88242	179	517	34.6	7850	9414	83.4	2749	4886	56.3	28	44.4	-16.4	321	858	269	107	1435	682	17.95	467	80	47	48	40	62	1.63	34	7	4	9	8	0	721	482	384	276	61	273	762	35.8	489	6264	1617	25.8	2076	3023	1165	553	120	3	433	437	1066	11	44.7	19382	2198	6336	9324	4890	802	17507	398	655	60.8	426	18	11809	73035	38700	13690	10778	78.7	516	393	38	3420	90	100	418	84	111	23	155	0.87	43	65	-22	-0.58	44.4	55.2	-10.8	-0.28	114	3	1	579	442	94	770	437	482	4	9	3	3469	572	587	49.4	7	12	19
Leganès	29	42.8	38	418	3420	36	25	3	5	106	4	0.95	0.66	1.61	0.87	1.53	36.6	32.9	36.6	0.96	0.96	1.93	0.87	1.83	38	38	3420	43	1.13	129	89	0.69	11	12	15	11	28.9	4	3	1	0	38	43	3	2	3	1	43.3	0.32	1.3	0.03	356	849	41.9	870	110	66.9	50.7	303	88.1	65.5	393	28	7.1	22	0.58	14.4	36	3	5	407	128	13	31.4	10.71	3.37	0.08	0.26	36.6	32.9	0.08	-0.6	0.1	10787	15033	71.8	224396	88505	180	529	34	7676	9301	82.5	2931	5203	56.3	25	36.6	-11.6	299	856	244	128	1390	601	15.82	433	70	32	26	38	58	1.53	39	6	3	6	2	2	636	417	334	238	64	240	711	33.8	471	6369	1508	23.7	2196	2848	1325	515	84	2	431	433	1081	9	42.8	19246	2132	6238	9352	4707	707	17436	322	550	58.5	352	19	11092	62741	32071	13854	10787	77.9	410	347	38	3420	90	100	418	85	112	17	154	1.18	37	43	-6	-0.16	36.6	38.7	-2.1	-0.06	106	4	2	542	398	75	744	433	417	2	4	1	3523	721	592	54.9	11	12	15
Levante	26	45.6	38	418	3420	56	39	5	7	112	7	1.47	1.03	2.5	1.34	2.37	49.2	43.8	49.2	1.29	1.29	2.59	1.15	2.45	38	38	3420	66	1.74	216	161	0.731	11	11	16	7	18.4	9	8	1	0	38	66	8	1	9	3	66	0.27	3	0.08	249	637	39.1	652	173	56.3	44.5	390	69.2	51.7	393	30	7.6	19	0.5	13.1	56	5	7	425	151	29	35.5	11.18	3.97	0.12	0.34	49.2	43.8	0.11	6.8	7.2	10953	14737	74.3	215012	85727	169	528	32	8138	9596	84.8	2646	4613	57.4	39	49.2	-10.2	293	895	280	72	1450	628	16.53	436	51	58	25	55	93	2.45	56	11	9	5	9	3	590	377	322	210	58	219	747	29.3	528	5943	1405	23.6	2007	2712	1224	621	141	3	480	422	883	9	45.6	19154	2351	6547	8919	4957	781	17245	456	761	59.9	490	21	11909	76275	43243	13557	10953	80.8	413	490	38	3420	90	100	418	84	113	20	152	1.16	59	66	-7	-0.18	49.2	67.1	-17.9	-0.47	112	7	5	501	487	85	674	422	377	6	9	3	3292	325	427	43.2	11	11	16
Rayo Vallecano	29	48.7	38	418	3420	40	24	5	5	106	8	1.05	0.63	1.68	0.92	1.55	40.3	36.5	40.3	1.06	1.06	2.12	0.96	2.02	38	38	3420	70	1.84	174	113	0.638	8	8	22	7	18.4	11	7	4	0	38	70	7	0	11	2	61.8	0.3	-6.2	-0.16	309	649	47.6	887	194	51.2	41.8	293	66.6	51.2	418	29	6.9	16	0.42	13.6	40	5	5	446	144	21	32.3	11.74	3.79	0.08	0.24	40.3	36.5	0.08	-0.3	-1.5	12606	16257	77.5	251724	92792	181	542	33.4	9393	10866	86.4	3032	4849	62.5	24	40.3	-16.3	323	925	237	85	1366	696	18.32	491	74	48	40	42	63	1.66	44	3	1	7	7	1	646	425	360	224	62	223	655	34	432	5742	1520	26.5	2144	2605	993	551	79	2	472	433	1031	8	48.7	20898	2422	7382	9958	5013	697	19042	576	897	64.2	624	23	13907	88398	49193	15259	12606	82.6	512	540	38	3420	90	100	418	84	111	20	155	0.84	41	70	-29	-0.76	40.3	53.5	-13.2	-0.35	106	8	5	567	455	71	783	433	425	5	11	1	3295	418	433	49.1	8	8	22
Real Madrid	27	60	38	418	3420	61	39	9	9	83	6	1.61	1.03	2.63	1.37	2.39	59.8	53.3	59.8	1.57	1.57	3.15	1.4	2.98	38	38	3420	46	1.21	133	93	0.699	21	5	12	12	31.6	8	6	1	1	38	46	6	0	6	0	44	0.3	-2	-0.05	145	388	37.4	911	230	30.2	34.1	244	46.3	45	275	26	9.5	19	0.5	14.6	61	9	9	579	202	19	34.9	15.24	5.32	0.09	0.26	59.8	53.3	0.09	1.2	-1.3	20683	24064	85.9	386609	117065	306	759	40.3	15812	17280	91.5	4565	6025	75.8	39	59.8	-20.8	447	1560	431	97	1821	964	25.37	728	71	67	49	46	107	2.82	67	6	9	12	10	3	634	418	285	252	97	196	658	29.8	462	5700	1505	26.4	1538	2732	1430	529	86	4	443	373	605	6	60	28247	2150	7697	14484	7812	1217	26459	493	772	63.9	518	25	21294	112417	60495	23348	20683	88.6	406	423	38	3420	90	100	418	84	112	21	154	1.79	63	46	17	0.45	59.8	45.3	14.6	0.38	83	6	4	446	545	112	762	373	418	8	6	0	3108	375	326	53.5	21	5	12
Real Sociedad	30	51.6	38	418	3420	44	27	8	10	82	4	1.16	0.71	1.87	0.95	1.66	45.5	38.3	45.5	1.2	1.2	2.39	1.01	2.2	38	38	3420	46	1.21	141	99	0.688	13	11	14	9	23.7	3	2	1	0	38	46	2	1	11	2	42.8	0.29	-1.2	-0.03	272	593	45.9	1133	143	35.2	34.9	285	68.1	50.5	430	41	9.5	37	0.97	16.4	44	8	10	413	131	15	31.7	10.87	3.45	0.09	0.27	45.5	38.3	0.1	-1.5	-2.3	14697	18443	79.7	292914	96357	169	571	29.6	10904	12472	87.4	3624	5400	67.1	27	45.5	-18.5	302	991	280	95	1541	648	17.05	465	61	44	36	41	71	1.87	45	5	3	7	10	1	606	399	311	230	65	241	663	36.3	422	6432	1631	25.4	1987	3054	1391	610	113	4	497	425	907	12	51.6	23017	2695	8137	11452	5109	741	21104	439	729	60.2	474	12	15408	96296	53483	17596	14697	83.5	492	495	38	3420	90	100	418	84	110	20	156	1.32	45	46	-1	-0.03	45.5	42.3	3.2	0.08	82	4	2	492	544	92	627	425	399	7	3	2	3360	549	526	51.1	13	11	14
Sevilla	27	52.2	38	418	3420	61	47	5	6	118	6	1.61	1.24	2.84	1.47	2.71	61.3	56.6	61.3	1.61	1.61	3.23	1.49	3.1	38	38	3419	47	1.24	145	105	0.717	17	8	13	11	28.9	7	6	1	0	38	47	6	2	4	1	47.5	0.29	1.5	0.04	220	669	32.9	869	210	50.1	41.2	296	79.1	59.9	331	28	8.5	21	0.55	14.6	61	5	6	516	170	12	32.9	13.58	4.47	0.11	0.33	61.3	56.6	0.11	-0.3	-0.6	14612	18654	78.3	285396	100487	214	655	32.7	10967	12604	87	3431	5395	63.6	47	61.3	-14.3	371	1124	413	123	1770	798	21	623	57	51	30	35	108	2.84	81	4	8	8	5	2	621	422	323	220	78	200	590	33.9	390	5782	1501	26	1859	2623	1300	529	119	1	410	365	908	6	52.2	22894	2254	7245	10841	6249	1084	21054	416	675	61.6	449	15	15304	86116	48932	17574	14612	83.1	408	419	38	3420	90	100	418	84	111	22	155	1.55	62	47	15	0.39	61.3	43.8	17.5	0.46	118	6	4	536	462	111	812	365	422	5	6	1	3548	493	570	46.4	17	8	13
Valencia	25	47.1	38	418	3420	50	38	5	7	90	3	1.32	1	2.32	1.18	2.18	56.7	51.4	56.7	1.49	1.49	2.99	1.35	2.85	38	38	3420	35	0.92	146	119	0.808	15	16	7	13	34.2	8	7	1	0	38	35	7	2	7	2	40.3	0.24	7.3	0.19	219	589	37.2	634	175	52.8	43.3	302	84.1	60.6	431	30	7	12	0.32	13.1	50	5	7	464	154	18	33.2	12.21	4.05	0.1	0.29	56.7	51.4	0.11	-6.7	-6.4	13821	17600	78.5	276786	100037	141	527	26.8	10295	11891	86.6	3385	5182	65.3	38	56.7	-18.7	358	1145	353	97	1756	753	19.82	564	67	43	35	43	85	2.24	61	6	5	5	7	1	579	381	299	212	68	204	626	32.6	422	6489	1598	24.6	2042	3074	1373	600	131	1	469	418	933	12	47.1	21921	2203	7012	10554	5707	936	20135	395	652	60.6	419	20	14263	85459	46494	16683	13821	82.8	457	357	38	3420	90	100	418	84	108	23	158	1.61	51	35	16	0.42	56.7	40	16.8	0.44	90	3	2	463	514	75	715	418	381	6	8	2	3285	476	510	48.3	15	16	7
Valladolid	28	47	38	418	3420	31	19	4	7	92	0	0.82	0.5	1.32	0.71	1.21	38.8	33.4	38.8	1.02	1.02	2.04	0.88	1.9	38	38	3420	51	1.34	151	108	0.702	10	11	17	9	23.7	9	6	3	0	38	51	6	1	8	2	50.9	0.29	1.9	0.05	288	876	32.9	894	170	63.2	46.8	347	89.6	65.5	421	23	5.5	13	0.34	12.5	31	4	7	408	128	25	31.4	10.74	3.37	0.07	0.21	38.8	33.4	0.08	-7.8	-6.4	12149	16171	75.1	246384	87862	181	554	32.7	8919	10352	86.2	3049	5265	57.9	19	38.8	-19.8	290	939	220	72	1433	630	16.58	450	63	42	25	49	49	1.29	30	5	3	2	8	1	692	452	379	241	72	255	792	32.2	537	6253	1570	25.1	2337	2936	980	597	118	2	479	362	940	14	47	20457	2387	7015	9763	4953	662	18565	355	536	66.2	377	15	13019	75709	41513	14972	12132	81	469	376	38	3420	90	100	418	85	113	18	152	1.08	32	51	-19	-0.5	38.8	52.5	-13.7	-0.36	92	0	0	513	499	96	770	362	452	6	8	1	3363	471	651	42	10	11	17
Villarreal	26	48.3	38	418	3420	47	34	3	6	118	3	1.24	0.89	2.13	1.16	2.05	49.9	45.8	49.9	1.31	1.31	2.63	1.2	2.52	38	38	3420	52	1.37	186	140	0.737	10	14	14	11	28.9	5	3	1	1	38	52	3	2	5	3	53.5	0.27	4.5	0.12	239	565	42.3	692	146	51	42.6	300	70.7	54.6	458	44	9.6	27	0.71	14.8	47	3	6	481	166	7	34.5	12.66	4.37	0.09	0.27	49.9	45.8	0.1	-2.9	-1.8	13853	17509	79.1	280991	99711	148	488	30.3	10171	11726	86.7	3534	5295	66.7	34	49.9	-15.9	356	1194	312	74	1666	739	19.45	547	63	58	43	26	77	2.03	47	7	7	10	4	2	670	425	351	255	64	266	755	35.2	489	6516	1512	23.2	2115	3147	1254	566	154	4	412	390	957	10	48.3	21874	2266	6921	10838	5494	923	20137	443	720	61.5	477	27	14283	81227	44812	16685	13853	83	437	351	38	3420	90	100	418	85	113	19	152	1.16	49	52	-3	-0.08	49.9	51.4	-1.4	-0.04	118	3	3	518	412	95	618	390	425	3	4	3	3100	475	500	48.7	10	14	14
